,FIPS,State,County,2015 Population Estimate,Population with low access,% of population with low access,Median Household Income 2015,"Less than a high school diploma, 2013-17","High school diploma only, 2013-17","Some college or associate's degree, 2013-17","Bachelor's degree or higher, 2013-17","% of adults with less than a high school diploma, 2013-17","% of adults with a high school diploma only, 2013-17","% of adults completing some college or associate's degree, 2013-17","% of adults with a bachelor's degree or higher, 2013-17"
0,1001,AL,Autauga,54838,17496.6930380858,31.906147266650496,56580.0,4521.0,12363.0,10697.0,9176.0,12.3,33.6,29.1,25.0
1,1003,AL,Baldwin,202995,30561.2644297432,15.055180881175989,52387.0,13997.0,39771.0,45286.0,43968.0,9.8,27.8,31.7,30.7
2,1005,AL,Barbour,26294,6069.52362758896,23.083302759522933,31433.0,4960.0,6549.0,4707.0,2218.0,26.9,35.5,25.5,12.0
3,1007,AL,Bibb,22562,969.378840984762,4.296511129264967,40767.0,2833.0,6958.0,3971.0,2097.0,17.9,43.9,25.0,13.2
4,1009,AL,Blount,57522,3724.42824233857,6.474789197765324,50487.0,7980.0,12740.0,13583.0,5172.0,20.2,32.3,34.4,13.1
5,1011,AL,Bullock,10400,4141.90036536622,39.825965051598274,28251.0,2113.0,2699.0,1575.0,990.0,28.6,36.6,21.4,13.4
6,1013,AL,Butler,20176,1304.32875630859,6.464753946811014,33868.0,2645.0,5637.0,3423.0,2253.0,18.9,40.4,24.5,16.1
7,1015,AL,Calhoun,115536,27785.986765365,24.049635408327276,42091.0,13254.0,25440.0,26168.0,14113.0,16.8,32.2,33.1,17.9
8,1017,AL,Chambers,34007,7131.50571665377,20.9706993167694,35560.0,4537.0,9109.0,6894.0,3158.0,19.1,38.4,29.1,13.3
9,1019,AL,Cherokee,25739,103.522498883598,0.4022009358700727,39144.0,3850.0,7179.0,5424.0,2344.0,20.5,38.2,28.9,12.5
10,1021,AL,Chilton,43717,1469.89911040547,3.362305534244047,42767.0,5391.0,12902.0,6920.0,4484.0,18.2,43.4,23.3,15.1
